Category,Month,Total Flights,Percentage Change Monthly,Abs_Percentage Change Monthly,Monthly(to 2019)
Full Service Airline,2020-01-01,302989,3.620345892484003,3.620345892484003,3.620345892484003
Full Service Airline,2020-02-01,287034,1.4050173639938246,1.4050173639938246,1.4050173639938246
Full Service Airline,2020-03-01,191216,-41.30085094365107,41.30085094365107,-41.30085094365107
Full Service Airline,2020-04-01,30600,-90.778716312933,90.778716312933,-90.778716312933
Full Service Airline,2020-05-01,36182,-89.87737699230914,89.87737699230914,-89.87737699230914
Full Service Airline,2020-06-01,62446,-82.80870604170222,82.80870604170222,-82.80870604170222
Full Service Airline,2020-07-01,125467,-66.79177066267181,66.79177066267181,-66.79177066267181
Full Service Airline,2020-08-01,154449,-58.96417412374859,58.96417412374859,-58.96417412374859
Full Service Airline,2020-09-01,147773,-59.66189509084556,59.66189509084556,-59.66189509084556
Full Service Airline,2020-10-01,143433,-60.005074896550184,60.005074896550184,-60.005074896550184
Full Service Airline,2020-11-01,102800,-66.59018375398935,66.59018375398935,-66.59018375398935
Full Service Airline,2020-12-01,107611,-64.25513115630802,64.25513115630802,-64.25513115630802
Full Service Airline,2021-01-01,99736,-67.08263336292737,67.08263336292737,-65.89091083196821
Full Service Airline,2021-02-01,80454,-71.97056794665441,71.97056794665441,-71.57674955927604
Full Service Airline,2021-03-01,97995,-48.75167350012551,48.75167350012551,-69.91766843895431
Full Service Airline,2021-04-01,107320,250.718954248366,250.718954248366,-67.65921028444345
Full Service Airline,2021-05-01,120295,232.47194737714887,232.47194737714887,-66.34511816068286
Full Service Airline,2021-06-01,157151,151.6590334048618,151.6590334048618,-56.73655579475941
Full Service Airline,2021-07-01,219618,75.04044888297321,75.04044888297321,-41.87216630185353
Full Service Airline,2021-08-01,234362,51.74070405117547,51.74070405117547,-37.73194890216167
Full Service Airline,2021-09-01,224897,52.19086030600989,52.19086030600989,-38.60909110761705
Full Service Airline,2021-10-01,236221,64.6908312591942,64.6908312591942,-34.132025385636375
Full Service Airline,2021-11-01,219802,113.81517509727625,113.81517509727625,-28.564742893914087
Full Service Airline,2021-12-01,221508,105.8414102647499,105.8414102647499,-26.422257874859245
Full Service Airline,2022-01-01,197344,97.86636720943291,97.86636720943291,-32.509584374989316
Full Service Airline,2022-02-01,183321,127.85815497054219,127.85815497054219,-35.2353059631099
Full Service Airline,2022-03-01,230576,135.29363743048114,135.29363743048114,-29.218187846117953
Full Service Airline,2022-04-01,263781,145.78922847558704,145.78922847558704,-20.50982247522157
Full Service Airline,2022-05-01,302601,151.54910844174736,151.54910844174736,-15.34144478607419
Full Service Airline,2022-06-01,306642,95.12570712244911,95.12570712244911,-15.58189856899808
Full Service Airline,2022-07-01,315334,43.58294857434272,43.58294857434272,-16.5383424338109
Full Service Airline,2022-08-01,323636,38.0923528558384,38.0923528558384,-14.012583161519332
Full Service Airline,2022-09-01,309749,37.72927162212035,37.72927162212035,-15.446748340321454
Full Service Airline,2022-10-01,302629,28.11265721506555,28.11265721506555,-15.614787467793926
Full Service Airline,2022-11-01,266133,21.0785161190526,21.0785161190526,-13.507250710121093
Full Service Airline,2022-12-01,297989,34.5274211315167,34.5274211315167,-1.017760992250534
Full Service Airline,2023-01-01,261385,32.451455326739094,32.451455326739094,-10.607962298608427
Full Service Airline,2023-02-01,244235,33.22805352360068,33.22805352360068,-13.715258764135847
Full Service Airline,2023-03-01,279192,21.08458816182083,21.08458816182083,-14.29413425999828
Full Service Airline,2023-04-01,214643,-18.628331835879006,18.628331835879006,-35.31751652146661
