,Airline,Total Flights
0,Ryanair Group,2023277
1,Turkish Airlines,1173783
2,easyJet Group,1042420
3,Lufthansa Airlines,917102
4,Air France Group,872279
5,KLM Group,667075
6,Wizz Air Group,581716
7,British Airways Group,535737
8,SAS Group,493943
9,Vueling,442779
10,Pegasus,428428
11,Wideroe,352568
12,Eurowings Group,336600
13,Iberia Group,293608
14,SWISS Group,283939
15,Norwegian Group,276651
16,DHL Group,264170
17,AEGEAN Group,260538
18,TUI Group,255722
19,TAP Group,251708
20,LOT,231303
21,Austrian Airlines,223393
22,Finnair,211342
23,Qatar Airways,211029
24,Iberia Regional-Air Nostrum,172282
25,Air Europa,160918
26,Emirates,156823
27,ITA Airways,149420
28,Loganair,147441
29,Volotea,146700
30,Aer Lingus Group,125599
31,Brussels Airlines,121416
32,Royal Air Maroc,98072
33,Bristow Norway,97519
34,ASL Airlines Belgium,84690
35,Federal Express,70935
36,EL AL,53029
